Date,Arrivals
2015-05-07,100
2015-05-08,119
2015-05-09,106
2015-05-10,91
2015-05-11,109
2015-05-12,84
2015-05-13,77
2015-05-14,81
2015-05-15,84
2015-05-16,114
2015-05-17,102
2015-05-18,99
2015-05-19,87
2015-05-20,91
2015-05-21,78
2015-05-22,106
2015-05-23,100
2015-05-24,95
2015-05-25,110
2015-05-26,102
2015-05-27,93
2015-05-28,105
2015-05-29,97
2015-05-30,97
2015-05-31,95
2015-06-01,99
2015-06-02,99
2015-06-03,94
2015-06-04,89
2015-06-05,108
2015-06-06,93
2015-06-07,110
2015-06-08,109
2015-06-09,100
2015-06-10,106
2015-06-11,95
2015-06-12,101
2015-06-13,106
2015-06-14,88
2015-06-15,91
2015-06-16,97
2015-06-17,84
2015-06-18,108
2015-06-19,96
2015-06-20,101
2015-06-21,94
2015-06-22,117
2015-06-23,106
2015-06-24,91
2015-06-25,76
2015-06-26,102
2015-06-27,91
2015-06-28,107
2015-06-29,102
2015-06-30,106
2015-07-01,91
2015-07-02,104
2015-07-03,100
2015-07-04,96
2015-07-05,85
2015-07-06,107
2015-07-07,105
2015-07-08,98
2015-07-09,114
2015-07-10,104
2015-07-11,112
2015-07-12,108
2015-07-13,103
2015-07-14,99
2015-07-15,107
2015-07-16,93
2015-07-17,113
2015-07-18,103
2015-07-19,122
2015-07-20,113
2015-07-21,86
2015-07-22,94
2015-07-23,99
2015-07-24,109
2015-07-25,103
2015-07-26,107
2015-07-27,111
2015-07-28,99
2015-07-29,111
2015-07-30,99
2015-07-31,109
2015-08-01,115
2015-08-02,113
2015-08-03,108
2015-08-04,95
2015-08-05,114
2015-08-06,102
2015-08-07,121
2015-08-08,109
2015-08-09,114
2015-08-10,119
2015-08-11,101
2015-08-12,94
2015-08-13,105
2015-08-14,109
2015-08-15,94
2015-08-16,105
2015-08-17,116
2015-08-18,84
2015-08-19,110
2015-08-20,107
2015-08-21,109
2015-08-22,98
2015-08-23,111
2015-08-24,98
2015-08-25,92
2015-08-26,104
2015-08-27,91
2015-08-28,103
2015-08-29,114
2015-08-30,115
2015-08-31,98
2015-09-01,88
2015-09-02,107
2015-09-03,87
2015-09-04,80
2015-09-05,96
2015-09-06,116
2015-09-07,110
2015-09-08,106
2015-09-09,100
2015-09-10,86
2015-09-11,91
2015-09-12,107
2015-09-13,116
2015-09-14,118
2015-09-15,84
2015-09-16,100
2015-09-17,91
2015-09-18,82
2015-09-19,93
2015-09-20,119
2015-09-21,100
2015-09-22,76
2015-09-23,104
2015-09-24,88
2015-09-25,89
2015-09-26,95
2015-09-27,119
2015-09-28,94
2015-09-29,84
2015-09-30,104
2015-10-01,82
2015-10-02,87
2015-10-03,69
2015-10-04,100
2015-10-05,83
2015-10-06,92
2015-10-07,98
2015-10-08,105
2015-10-09,77
2015-10-10,85
2015-10-11,100
2015-10-12,111
2015-10-13,89
2015-10-14,115
2015-10-15,69
2015-10-16,95
2015-10-17,96
2015-10-18,94
2015-10-19,118
2015-10-20,105
2015-10-21,95
2015-10-22,100
2015-10-23,90
2015-10-24,76
2015-10-25,93
2015-10-26,102
2015-10-27,90
2015-10-28,100
2015-10-29,67
2015-10-30,90
2015-10-31,76
2015-11-01,113
2015-11-02,106
2015-11-03,90
2015-11-04,86
2015-11-05,105
2015-11-06,79
2015-11-07,82
2015-11-08,107
2015-11-09,108
2015-11-10,79
2015-11-11,66
2015-11-12,86
2015-11-13,98
2015-11-14,87
2015-11-15,93
2015-11-16,105
2015-11-17,106
2015-11-18,93
2015-11-19,80
2015-11-20,64
2015-11-21,110
2015-11-22,107
2015-11-23,119
2015-11-24,87
2015-11-25,84
2015-11-26,79
2015-11-27,93
2015-11-28,99
2015-11-29,98
2015-11-30,87
2015-12-01,88
2015-12-02,80
2015-12-03,86
2015-12-04,90
2015-12-05,64
2015-12-06,101
2015-12-07,97
2015-12-08,89
2015-12-09,91
2015-12-10,93
2015-12-11,78
2015-12-12,85
2015-12-13,102
2015-12-14,81
2015-12-15,90
2015-12-16,86
2015-12-17,79
2015-12-18,71
2015-12-19,82
2015-12-20,96
2015-12-21,87
2015-12-22,81
2015-12-23,62
2015-12-24,97
2015-12-25,101
2015-12-26,105
2015-12-27,102
2015-12-28,83
2015-12-29,94
2015-12-30,96
2015-12-31,97
2016-01-01,104
2016-01-02,95
2016-01-03,101
2016-01-04,110
2016-01-05,91
2016-01-06,96
2016-01-07,91
2016-01-08,109
2016-01-09,100
2016-01-10,92
2016-01-11,99
2016-01-12,83
2016-01-13,117
2016-01-14,96
2016-01-15,99
2016-01-16,82
2016-01-17,90
2016-01-18,107
2016-01-19,80
2016-01-20,86
2016-01-21,86
2016-01-22,79
2016-01-23,83
2016-01-24,107
2016-01-25,93
2016-01-26,103
2016-01-27,102
2016-01-28,101
2016-01-29,95
2016-01-30,83
2016-01-31,107
2016-02-01,91
2016-02-02,76
2016-02-03,100
2016-02-04,104
2016-02-05,103
2016-02-06,100
2016-02-07,88
